,x,y,z
14762,705.1111111111111,221.44444444444446,30.77777777777778
14763,716.9090909090909,350.27272727272725,21.636363636363637
14764,711.3809523809524,254.85714285714286,25.476190476190474
14765,709.5714285714286,216.71428571428572,28.0
14766,708.3333333333334,210.16666666666666,28.0
14767,721.875,384.5,18.0
14768,723.5,375.0,16.5
14769,718.3846153846154,283.38461538461536,20.0
14770,720.75,306.1666666666667,18.0
14771,720.4117647058823,240.2941176470588,17.647058823529413
14772,726.1666666666666,251.0,13.833333333333334
14773,731.0,300.0,11.0
14774,648.7142857142857,340.0,78.0
14775,649.0909090909091,331.1818181818182,78.4090909090909
14776,652.1111111111111,323.0,76.11111111111111
14777,656.4375,384.0625,72.3125
14778,652.3461538461538,287.1923076923077,75.34615384615384
14779,654.4,300.53333333333336,73.66666666666667
14780,652.5,241.0,75.0
14781,656.625,287.0625,72.0
14782,663.3846153846154,383.84615384615387,66.3076923076923
14783,666.3,397.5,64.0
14784,663.1034482758621,347.37931034482756,66.3103448275862
14785,658.3125,277.5,69.375
14786,667.8571428571429,369.5,63.142857142857146
14787,665.8421052631579,344.5263157894737,63.8421052631579
14788,668.4761904761905,364.3333333333333,62.285714285714285
14789,662.25,247.0,66.75
14790,672.2777777777778,369.44444444444446,59.22222222222222
14791,675.7857142857143,391.35714285714283,56.0
14792,676.6818181818181,385.1363636363636,55.45454545454545
14793,671.05,269.3,59.3
14794,680.5263157894736,373.7368421052632,52.1578947368421
14795,703.6,374.6,34.0
14796,702.7083333333334,334.4583333333333,33.5
14797,699.0833333333334,266.1666666666667,36.0
14798,698.6666666666666,226.83333333333334,36.833333333333336
14799,713.0,390.0,25.0
14800,701.9090909090909,234.1818181818182,33.27272727272727
14801,707.1666666666666,281.8888888888889,29.11111111111111
14802,707.8,250.35,28.2
14803,706.4285714285714,215.0,30.142857142857142
14804,707.5,220.25,29.25
14805,710.5238095238095,279.7142857142857,25.857142857142858
14806,712.5,288.2857142857143,24.142857142857142
14807,712.2941176470588,239.1764705882353,24.235294117647058
14808,724.4,386.0,15.7
14809,713.7272727272727,221.0909090909091,23.272727272727273
14810,730.0,305.0,12.0
14811,725.0,244.5,15.0
14812,644.0952380952381,295.0952380952381,81.95238095238095
14813,656.0,385.5,74.0
14814,653.0,342.3157894736842,74.63157894736842
14815,653.4193548387096,348.0,74.19354838709677
14816,649.68,282.92,76.44
14817,662.375,390.25,68.0
14818,659.0,295.1111111111111,69.44444444444444
14819,664.0,368.0,66.0
14820,663.1666666666666,327.1666666666667,67.0
14821,668.6153846153846,397.0769230769231,62.46153846153846
14822,663.5769230769231,282.9230769230769,65.57692307692308
14823,660.0769230769231,235.07692307692307,68.15384615384616
14824,673.2727272727273,396.0,58.81818181818182
14825,660.7647058823529,240.64705882352942,67.23529411764706
14826,665.7368421052631,287.3157894736842,63.8421052631579
14827,667.25,305.375,63.0
14828,662.5625,236.3125,66.1875
14829,666.6111111111111,282.77777777777777,63.05555555555556
14830,673.2857142857143,357.5,57.714285714285715
14831,678.1,377.1,55.0
14832,668.52,271.32,60.72
14833,671.4,275.36,58.76
14834,671.4,259.15,58.7
14835,675.3478260869565,261.3478260869565,55.43478260869565
14836,675.0,242.5,57.0
14837,679.5,319.25,52.25
14838,681.9090909090909,291.3636363636364,51.0
14839,684.0769230769231,319.3076923076923,48.61538461538461
14840,685.5,311.25,47.25
14841,685.7916666666666,287.9583333333333,46.0
14842,691.5416666666666,307.2083333333333,41.666666666666664
14843,694.28125,331.90625,39.625
14844,689.6086956521739,274.82608695652175,43.47826086956522
14845,691.2941176470588,291.05882352941177,41.64705882352941
14846,694.3636363636364,293.59090909090907,39.5
14847,695.0434782608696,298.17391304347825,38.391304347826086
14848,698.0,300.5,36.5
14849,696.6,253.6,38.0
14850,697.5,238.5,37.0
14851,702.7777777777778,304.77777777777777,33.111111111111114
14852,701.7368421052631,271.0,33.0
14853,703.0833333333334,276.1666666666667,32.0
14854,705.3333333333334,265.3333333333333,30.0
14855,711.9166666666666,351.5833333333333,24.833333333333332
14856,705.3,234.0,29.9
14857,710.0666666666667,291.1333333333333,25.733333333333334
14858,708.4545454545455,226.8181818181818,27.0
14859,722.9090909090909,380.6363636363636,16.0
14860,716.2352941176471,229.94117647058823,21.0
14861,721.0,280.0,16.0
14862,643.0,288.0,83.0
14863,648.5,309.0,78.0
14864,649.2916666666666,304.375,77.41666666666667
14865,652.7777777777778,336.6666666666667,74.48148148148148
14866,653.1,323.2,74.0
14867,654.6315789473684,338.0,72.94736842105263
14868,657.1290322580645,323.5806451612903,70.48387096774194
14869,657.4782608695652,282.5652173913044,69.91304347826087
14870,669.5714285714286,393.85714285714283,60.857142857142854
14871,659.2857142857143,249.42857142857142,68.47619047619048
14872,665.9285714285714,276.64285714285717,63.285714285714285
14873,664.3181818181819,239.4090909090909,64.54545454545455
14874,664.2,234.26666666666668,64.4
14875,666.0,256.53846153846155,62.92307692307692
14876,673.4285714285714,272.0,56.642857142857146
14877,674.2,266.9,56.2
14878,677.0,264.8,54.2
14879,684.1818181818181,293.8181818181818,47.72727272727273
14880,688.8181818181819,318.90909090909093,44.04545454545455
14881,686.0,296.8888888888889,45.44444444444444
14882,685.9333333333333,282.93333333333334,46.266666666666666
14883,689.3684210526316,306.42105263157896,44.05263157894737
14884,687.6060606060606,300.90909090909093,44.45454545454545
14885,691.0833333333334,337.8333333333333,41.708333333333336
14886,691.578947368421,332.57894736842104,41.473684210526315
14887,691.7391304347826,275.8695652173913,41.56521739130435
14888,698.4444444444445,346.05555555555554,35.888888888888886
14889,699.1578947368421,332.57894736842104,35.36842105263158
14890,705.0,393.0,32.0
14891,697.9375,311.875,36.0625
14892,700.3157894736842,322.42105263157896,34.36842105263158
14893,697.8333333333334,289.3333333333333,36.666666666666664
14894,696.75,260.0,38.0
14895,696.4285714285714,244.28571428571428,38.0
14896,704.5,326.6666666666667,31.666666666666668
14897,708.8,367.9,27.6
14898,698.8571428571429,236.57142857142858,34.857142857142854
14899,709.5714285714286,351.3333333333333,26.666666666666668
14900,710.2222222222222,343.3333333333333,25.88888888888889
14901,714.2727272727273,351.45454545454544,23.0
14902,707.0,236.5,28.0
14903,712.375,276.625,23.8125
14904,721.7142857142857,393.14285714285717,17.142857142857142
14905,709.0,232.0,26.0
14906,720.0,366.5,18.0
14907,724.5,395.5,15.0
14908,725.8,391.8,14.2
14909,717.5454545454545,288.1818181818182,20.0
14910,718.6,291.73333333333335,18.6
14911,649.9285714285714,336.92857142857144,76.32142857142857
14912,660.0,389.25,69.0
14913,653.1724137931035,294.48275862068965,73.55172413793103
14914,664.5294117647059,393.0,64.58823529411765
14915,666.2142857142857,379.42857142857144,63.714285714285715
14916,669.6470588235294,397.7647058823529,60.294117647058826
14917,670.0,364.0,60.0
14918,670.5,356.8125,59.0
14919,666.375,263.5,62.458333333333336
14920,675.25,364.5416666666667,55.416666666666664
14921,666.75,234.75,62.625
14922,669.65,282.75,59.8
14923,672.16,280.96,57.52
14924,676.0,256.0,55.0
14925,675.3333333333334,243.55555555555554,55.0
14926,691.75,298.15,40.5
14927,693.25,272.0,41.0
14928,694.4285714285714,257.57142857142856,39.142857142857146
14929,695.0,235.375,38.375
14930,701.1666666666666,251.5,32.5
14931,705.8,288.3,29.4
14932,709.578947368421,285.6842105263158,25.736842105263158
14933,706.0,232.83333333333334,28.0
14934,712.0909090909091,282.45454545454544,23.545454545454547
14935,720.5,376.0,18.0
14936,708.6,220.2,27.0
14937,723.4666666666667,257.26666666666665,14.2
14938,726.5,260.0,12.0
14939,646.6666666666666,320.3333333333333,80.0
14940,645.95,306.6,79.3
14941,649.5714285714286,287.2857142857143,77.0
14942,654.3913043478261,343.0,72.26086956521739
14943,655.8076923076923,348.7307692307692,71.38461538461539
14944,662.36,389.24,66.2
14945,652.9444444444445,247.0,72.83333333333333
